ID,Name,Category,Price,Quantity,SKU,Barcode,Supplier,Last Restock Date,Low Stock Threshold,Weight (lbs),Dimensions (in),Status
39,Skincare Set,Beauty,39.99,150,SKIN-S456,987654321019,Supplier M,2025-01-29,30,0.5,6x6x3,In Stock
40,BBQ Grill,Sports,249.99,25,BBQ-G789,987654321020,Supplier N,2025-02-12,5,30.0,50x30x20,In Stock
41,Smart Thermostat,Home Goods,129.99,45,THERM-S123,987654321021,Supplier O,2025-02-18,5,1.0,5x5x3,In Stock
42,Winter Jacket,Clothing,149.99,60,JACKET-W456,987654321022,Supplier P,2025-01-10,10,2.5,16x14x6,In Stock
43,Portable Air Purifier,Home Goods,79.99,100,AIRPURF-P789,987654321023,Supplier Q,2025-02-05,20,4.0,8x8x12,In Stock
44,LED Desk Lamp,Electronics,24.99,150,LAMP-LED123,987654321024,Supplier R,2025-01-30,25,1.1,10x6x4,In Stock
45,Knitted Scarf,Clothing,19.99,200,SCARF-K567,987654321025,Supplier S,2025-02-12,50,0.3,10x5x1,In Stock
46,Smartphone Case,Electronics,14.99,250,CASE-S890,987654321026,Supplier T,2025-02-17,20,0.2,6x3x0.5,In Stock
47,Children’s Book,Books,8.99,120,BOOK-K234,987654321027,Supplier U,2025-02-02,30,0.4,8x6x0.5,In Stock
48,Massage Pillow,Beauty,39.99,40,PILLOW-M123,987654321028,Supplier V,2025-01-25,5,2.0,10x7x5,In Stock
49,Camping Stove,Sports,69.99,80,STOVE-C456,987654321029,Supplier W,2025-02-09,15,3.5,12x10x6,In Stock
50,Water Bottle,Sports,15.99,200,BOTTLE-W678,987654321030,Supplier X,2025-02-20,40,0.6,10x3x3,In Stock
51,Electric Grill,Home Goods,99.99,50,GRILL-E123,987654321031,Supplier Y,2025-02-05,10,8.0,14x12x7,In Stock
52,Wireless Earbuds,Electronics,59.99,120,EARBUDS-W456,987654321032,Supplier Z,2025-02-13,20,0.3,2x2x1,In Stock
53,Recliner Chair,Home Goods,179.99,25,CHAIR-R789,987654321033,Supplier A,2025-01-28,5,15.0,36x28x40,In Stock
54,Sports Watch,Clothing,199.99,70,SWATCH-S012,987654321034,Supplier B,2025-02-10,15,0.8,2x2x0.5,In Stock
55,LED Light Strip,Electronics,24.99,200,LIGHT-LED345,987654321035,Supplier C,2025-01-18,30,0.5,6x6x2,In Stock
56,Herbal Lip Balm,Beauty,6.99,150,BALM-H456,987654321036,Supplier D,2025-02-14,25,0.1,2x2x0.5,In Stock
57,Train Set,Toys,49.99,100,TRAIN-T567,987654321037,Supplier E,2025-01-30,20,2.0,20x10x8,In Stock
58,Baseball Glove,Sports,89.99,60,BASEB-S678,987654321038,Supplier F,2025-02-19,10,1.2,12x7x5,In Stock
59,Electric Scooter,Sports,299.99,40,SCOOT-EL789,987654321039,Supplier G,2025-02-08,8,25.0,44x18x12,Out of Stock
60,Hair Dryer,Beauty,39.99,150,HAIR-H012,987654321040,Supplier H,2025-02-01,20,1.5,9x5x7,In Stock
61,Electric Coffee Grinder,Home Goods,39.99,80,GRIND-EC123,987654321041,Supplier I,2025-02-12,15,1.2,6x6x10,In Stock
62,4K TV,Electronics,499.99,30,TV-4K234,987654321042,Supplier J,2025-01-22,5,30.0,48x30x5,In Stock
63,Compact Mirror,Beauty,9.99,150,MIRROR-C345,987654321043,Supplier K,2025-02-16,25,0.2,4x4x0.5,In Stock
64,Camping Lantern,Sports,24.99,90,LANTERN-C456,987654321044,Supplier L,2025-02-03,10,1.0,8x8x6,In Stock
65,Board Game,Toys,19.99,150,BOARD-B567,987654321045,Supplier M,2025-01-15,30,2.0,10x10x2,In Stock
66,Air Fryer,Home Goods,89.99,60,FRYER-A678,987654321046,Supplier N,2025-02-20,15,4.0,12x12x10,In Stock
67,Wireless Charger,Electronics,29.99,120,CHARGER-W789,987654321047,Supplier O,2025-02-07,20,0.5,4x4x0.5,In Stock
68,Running Shoes,Clothing,79.99,90,SHOES-R890,987654321048,Supplier P,2025-01-25,10,1.5,12x8x4,In Stock
69,Children's Backpack,Clothing,29.99,150,BACKPACK-K123,987654321049,Supplier Q,2025-02-14,30,0.8,10x8x5,In Stock
